month_key,AOT,AAV,MINT,CENTEL
2015-01-01,,,,
2015-02-01,28.761016845703125,4.527886390686035,28.577495574951172,30.046363830566406
2015-03-01,27.429487228393555,4.4448065757751465,26.803720474243164,27.61614418029785
2015-04-01,24.855199813842773,4.154024600982666,27.593639373779297,28.941720962524414
2015-05-01,25.742881774902344,3.987863063812256,28.818437576293945,29.954336166381836
2015-06-01,26.591381072998047,3.904783010482788,26.635225296020508,32.86035919189453
2015-07-01,27.037546157836914,3.65554141998291,26.19858169555664,33.30743408203125
2015-08-01,26.234445571899414,4.054327964782715,25.543615341186523,33.30743408203125
2015-09-01,24.628259658813477,3.6056931018829346,23.142078399658203,31.519115447998047
2015-10-01,25.07442283630371,3.6702778339385986,25.10697364807129,33.53097915649414
2015-11-01,26.591381072998047,3.925158739089966,26.635225296020508,33.97805404663086
2015-12-01,27.75140380859375,3.8741824626922607,32.09326171875,40.46071243286133
2016-01-01,31.353973388671875,4.460407733917236,31.656618118286133,39.3430061340332
2016-02-01,34.25376510620117,4.8427276611328125,29.473405838012695,35.319297790527344
2016-03-01,36.1567497253418,4.332967281341553,31.43829345703125,35.09575653076172
2016-04-01,36.4286003112793,4.9276885986328125,32.311588287353516,38.22531509399414
2016-05-01,35.52241516113281,4.9276885986328125,32.842689514160156,34.425132751464844
2016-06-01,35.8848876953125,5.3524885177612305,34.606056213378906,36.00144958496094
2016-07-01,35.341182708740234,5.310009002685547,35.48774337768555,33.73720932006836
2016-08-01,35.79426956176758,5.6923298835754395,35.928585052490234,37.35999298095703
2016-09-01,36.4286003112793,6.372010231018066,36.36941909790039,37.58641815185547
2016-10-01,36.1567497253418,6.074650764465332,34.38563537597656,35.322174072265625
2016-11-01,34.52561950683594,5.989690780639648,33.94479751586914,34.416481018066406
2016-12-01,36.4286003112793,5.6923298835754395,33.063114166259766,37.35999298095703
2017-01-01,36.692657470703125,5.257800102233887,31.52016830444336,36.00144958496094
2017-02-01,38.16773986816406,5.301253318786621,30.63848304748535,33.73720932006836
2017-03-01,35.724639892578125,5.257800102233887,30.197641372680664,32.6050910949707
2017-04-01,36.18559646606445,5.605423927307129,32.401851654052734,32.15224075317383
2017-05-01,37.10752487182617,5.388158798217773,33.1521110534668,31.472970962524414
2017-06-01,39.181861877441406,5.388158798217773,33.374610900878906,33.35566711425781
2017-07-01,43.56100845336914,5.431612014770508,35.82208251953125,34.9659423828125
2017-08-01,47.47919845581055,5.51851749420166,37.6020622253418,37.496376037597656
2017-09-01,50.24496841430664,5.388158798217773,35.37709426879883,37.496376037597656
2017-10-01,54.393638610839844,5.6923298835754395,36.2670783996582,40.94696044921875
2017-11-01,54.8546028137207,5.561971187591553,38.49205017089844,42.0971565246582
2017-12-01,57.389896392822266,5.51747465133667,38.71455001831055,49.228370666503906
2018-01-01,63.56563949584961,5.472978591918945,38.93704605102539,53.59911346435547
2018-02-01,65.4352035522461,5.072516441345215,39.159542083740234,47.618099212646484
2018-03-01,66.13629913330078,4.939029216766357,36.04457473754883,47.158023834228516
2018-04-01,63.09824752807617,4.583063125610352,34.04210662841797,45.31770706176758
2018-05-01,66.60369110107422,5.206004619598389,36.18392562866211,48.30821228027344
2018-06-01,64.03302764892578,5.070912837982178,29.216829299926758,42.14279556274414
2018-07-01,58.89168930053711,4.609921455383301,29.216829299926758,40.04729461669922
2018-08-01,61.929752349853516,4.222687244415283,34.161216735839844,40.74579620361328
2018-09-01,62.39714813232422,4.1120500564575195,35.50968551635742,37.02046585083008
2018-10-01,61.228660583496094,4.0698370933532715,36.858154296875,38.88312911987305
2018-11-01,59.82647705078125,3.803586006164551,32.812747955322266,37.48612976074219
2018-12-01,59.59278106689453,4.126891136169434,32.588008880615234,39.348793029785156
2019-01-01,61.0540771484375,3.993765115737915,30.565303802490234,37.2532958984375
2019-02-01,65.56780242919922,4.0698370933532715,34.83544921875,40.04729461669922
2019-03-01,64.14241027832031,4.393142223358154,34.83544921875,41.6771240234375
2019-04-01,64.61754608154297,3.8986759185791016,35.06019592285156,40.74579620361328
2019-05-01,65.09268188476562,4.050818920135498,34.07276916503906,39.8144645690918
2019-06-01,60.578948974609375,3.803586006164551,35.20852279663086,31.917770385742188
2019-07-01,69.84396362304688,3.8416221141815186,37.25288772583008,33.5727653503418
2019-08-01,68.4185791015625,3.6514430046081543,36.571434020996094,32.154197692871094
2019-09-01,68.4185791015625,3.0428690910339355,34.527061462402344,30.262773513793945
2019-10-01,71.03177642822266,2.8907248973846436,34.07276916503906,31.208484649658203
2019-11-01,74.3576889038086,2.4342949390411377,32.70985412597656,26.00707244873047
2019-12-01,71.7444839477539,2.0919721126556396,34.98136901855469,26.243499755859375
2020-01-01,71.56529998779297,2.1300079822540283,32.70985412597656,23.642791748046875
2020-02-01,67.95088195800781,1.6545599699020386,27.939668655395508,20.521944046020508
2020-03-01,57.58958053588867,1.2266559600830078,24.986692428588867,17.022811889648438
2020-10-01,54.457096099853516,1.7116130590438843,18.448740005493164,21.278512954711914
2020-11-01,49.87884521484375,1.3597819805145264,15.40469741821289,18.630521774291992
2020-12-01,61.685909271240234,1.9398289918899536,22.87643814086914,22.98079490661621
2021-01-01,60.1717529296875,2.2441160678863525,23.752748489379883,22.413366317749023
2021-02-01,57.51356506347656,2.3582229614257812,22.87643814086914,23.359079360961914
2021-03-01,61.86333084106445,2.4913489818573,27.903717041015625,31.444915771484375
2021-04-01,66.69640350341797,2.681528091430664,29.979202270507812,34.51847839355469
2021-05-01,59.93009948730469,2.396259069442749,27.673107147216797,30.026348114013672
2021-06-01,60.89671325683594,2.510366916656494,29.517982482910156,31.444915771484375
2021-07-01,59.93009948730469,2.681528091430664,27.673107147216797,31.208484649658203
2021-08-01,54.61372375488281,2.263134002685547,27.4424991607666,26.952783584594727
2021-09-01,61.62167739868164,2.6434919834136963,30.20981216430664,31.444915771484375
